%time,field.data
1423620000000,-1.0175108909606934
1423640000000,-1.018097162246704
1423690000000,-1.0174999237060547
1423690000000,-1.0177340507507324
1423730000000,-1.0154359340667725
1423730000000,-1.0127155780792236
1423790000000,-1.0110912322998047
1423790000000,-1.0086112022399902
1423790000000,-1.0050103664398193
1423840000000,-0.999189019203186
1423840000000,-0.9927208423614502
1423840000000,-0.9820668697357178
1423890000000,-0.9685153961181641
1423890000000,-0.9563857316970825
1423900000000,-0.9429292678833008
1423920000000,0.7068808078765869
1423970000000,-0.9189170598983765
1423970000000,0.7083916068077087
1424020000000,-0.8950388431549072
1424020000000,-0.8896894454956055
1424020000000,-0.8858834505081177
1424080000000,-0.8832513093948364
1424080000000,-0.8815881013870239
1424080000000,-0.8800932168960571
1424130000000,-0.8784002065658569
1424130000000,-0.8757542371749878
1424140000000,0.7124051451683044
1424160000000,-0.8711725473403931
1424200000000,-0.8657064437866211
1424200000000,-0.8644763231277466
1424250000000,-0.8603253364562988
1424250000000,-0.8556392192840576
1424300000000,-0.8491784334182739
1424300000000,-0.8433291912078857
1424350000000,-0.8347746133804321
1424350000000,-0.8273762464523315
1424350000000,-0.8194811344146729
1424410000000,-0.811681866645813
1424410000000,-0.8071837425231934
1424410000000,-0.7997773885726929
1424450000000,-0.7956733703613281
1424450000000,-0.7916488647460938
1424470000000,-0.7872982025146484
1424500000000,-0.7820248603820801
1424550000000,-0.7757059335708618
1424550000000,-0.7633564472198486
1424550000000,-0.7598056793212891
1424600000000,-0.7538964748382568
1424600000000,-0.7481956481933594
1424600000000,-0.7445133924484253
1424620000000,-0.740683913230896
1424660000000,-0.7374007701873779
1424660000000,-0.7325613498687744
1424710000000,-0.7277917861938477
1424710000000,-0.7215763330459595
1424750000000,-0.718578577041626
1424750000000,-0.7119427919387817
1424790000000,-0.7081413269042969
1424790000000,-0.7037172317504883
1424850000000,-0.69935142993927
1424850000000,-0.6918070316314697
1424850000000,-0.6837773323059082
1424880000000,-0.6790462732315063
1424880000000,-0.6699469089508057
1424900000000,-0.6685986518859863
1424920000000,-0.6603968143463135
1424960000000,-0.6545735597610474
1424990000000,-0.6524311304092407
1424990000000,-0.6461490392684937
1425040000000,-0.6375356912612915
1425040000000,-0.6331311464309692
1425040000000,-0.6289538145065308
1425090000000,-0.6228692531585693
1425090000000,-0.6186529397964478
1425110000000,-0.612862229347229
1425130000000,-0.6055587530136108
1425170000000,-0.60197913646698
1425170000000,-0.597693681716919
1425210000000,-0.5918487310409546
1425210000000,-0.58998703956604
1425270000000,-0.5838655233383179
1425270000000,-0.5811752080917358
1425270000000,-0.5738252401351929
1425320000000,-0.57115638256073
1425320000000,-0.5628470182418823
1425320000000,-0.5575131177902222
1425340000000,-0.5556926727294922
1425380000000,-0.5491558313369751
1425380000000,-0.5432121753692627
1425420000000,-0.5386369228363037
1425420000000,-0.5325589179992676
1425460000000,-0.5270802974700928
1425460000000,-0.5246773958206177
1425510000000,-0.5177508592605591
1425510000000,-0.5151134729385376
1425560000000,-0.5089735984802246
1425560000000,-0.5043685436248779
1425600000000,-0.49927473068237305
1425600000000,-0.49190378189086914
1425600000000,-0.48782145977020264
1425640000000,-0.482413649559021
1425640000000,-0.47781455516815186
1425660000000,-0.4724440574645996
1425680000000,-0.47030580043792725
1425720000000,-0.4661142826080322
1425720000000,-0.46161484718322754
1425760000000,-0.4584246873855591
1425760000000,-0.45418059825897217
1425810000000,-0.44758784770965576
1425810000000,-0.4436432123184204
1425850000000,-0.43961668014526367
1425850000000,-0.43668365478515625
1425900000000,-0.4340420961380005
1425900000000,-0.4298194646835327
1425950000000,-0.42248284816741943
1425950000000,-0.4179964065551758
1425950000000,-0.4161863327026367
1426000000000,-0.4095010757446289
1426000000000,-0.40657103061676025
1426000000000,-0.4027540683746338
1426040000000,-0.3985147476196289
1426040000000,-0.39430737495422363
1426060000000,-0.38914191722869873
1426080000000,-0.3862125873565674
1426110000000,-0.3816976547241211
1426160000000,-0.3779006004333496
1426160000000,-0.37339329719543457
1426160000000,-0.3706556558609009
1426210000000,-0.3663252592086792
1426210000000,-0.3624227046966553
1426220000000,-0.35503625869750977
1426240000000,-0.35297560691833496
1426280000000,-0.3494497537612915
1426310000000,-0.34596848487854004
1426310000000,-0.3429832458496094
1426350000000,-0.3396787643432617
1426350000000,-0.33628666400909424
1426400000000,-0.3339148759841919
1426400000000,-0.3289855718612671
1426400000000,-0.3252819776535034
1426450000000,-0.32471728324890137
1426450000000,-0.3207658529281616
1426460000000,-0.31676924228668213
1426480000000,-0.3140624761581421
1426520000000,-0.31269264221191406
1426560000000,-0.3096224069595337
1426560000000,-0.30883336067199707
1426560000000,-0.305131196975708
1426600000000,-0.3024561405181885
1426600000000,-0.29700446128845215
1426620000000,-0.29620862007141113
1426640000000,-0.29324889183044434
1426690000000,-0.28875303268432617
1426690000000,-0.28689730167388916
1426720000000,-0.28415489196777344
1426720000000,-0.27992403507232666
1426770000000,-0.277851939201355
1426770000000,-0.2730073928833008
1426810000000,-0.26994240283966064
1426810000000,-0.2674504518508911
1426870000000,-0.2647061347961426
1426870000000,-0.26155781745910645
1426870000000,-0.26022565364837646
1426910000000,-0.2580704689025879
1426910000000,-0.2568398714065552
1426930000000,-0.25252628326416016
1426950000000,-0.24947679042816162
1426980000000,-0.24912571907043457
1426980000000,-0.24633240699768066
1427030000000,-0.2430868148803711
1427030000000,-0.24151217937469482
1427080000000,-0.23956596851348877
1427080000000,-0.2372443675994873
1427080000000,-0.2334665060043335
1427110000000,-0.2315046787261963
1427110000000,-0.22883844375610352
1427160000000,-0.22677326202392578
1427160000000,-0.22380518913269043
1427210000000,-0.22168874740600586
1427210000000,-0.21941685676574707
1427250000000,-0.2184910774230957
1427250000000,-0.21646714210510254
1427290000000,-0.21609294414520264
1427290000000,-0.21246337890625
1427310000000,-0.20975542068481445
1427310000000,-0.2069324254989624
1427370000000,-0.20518672466278076
1427410000000,-0.20250439643859863
1427410000000,-0.200728178024292
1427410000000,-0.19868159294128418
1427460000000,-0.19685745239257812
1427460000000,-0.19268131256103516
1427460000000,-0.19063949584960938
1427510000000,-0.18935132026672363
1427510000000,-0.18754875659942627
1427520000000,-0.18681836128234863
1427540000000,-0.18483030796051025
1427580000000,-0.18419885635375977
1427580000000,-0.1819314956665039
1427620000000,-0.178757905960083
1427620000000,-0.17922866344451904
1427680000000,-0.17639482021331787
1427680000000,-0.17500317096710205
1427730000000,-0.17176353931427002
1427730000000,-0.17057645320892334
1427730000000,-0.16889095306396484
1427770000000,-0.16787874698638916
1427770000000,-0.16621267795562744
1427780000000,-0.16325736045837402
1427800000000,-0.16249990463256836
1427850000000,-0.16129207611083984
1427850000000,-0.15821361541748047
1427890000000,-0.1569528579711914
1427890000000,-0.15619337558746338
1427940000000,-0.15510022640228271
1427940000000,-0.15260851383209229
1427970000000,-0.15053606033325195
1427970000000,-0.14759349822998047
1428020000000,-0.1466759443283081
1428020000000,-0.14626753330230713
1428070000000,-0.1442049741744995
1428070000000,-0.1434417963027954
1428070000000,-0.14202189445495605
1428120000000,-0.14130187034606934
1428120000000,-0.14056992530822754
1428120000000,-0.13674616813659668
1428140000000,-0.13609719276428223
1428180000000,-0.1352754831314087
1428180000000,-0.13277113437652588
1428220000000,-0.13285112380981445
1428220000000,-0.13192594051361084
1428270000000,-0.13015758991241455
1428270000000,-0.12883496284484863
1428320000000,-0.12785863876342773
1428320000000,-0.12561380863189697
1428320000000,-0.12499427795410156
1428370000000,-0.12469351291656494
1428370000000,-0.12220561504364014
1428380000000,-0.12044107913970947
1428400000000,-0.12066113948822021
1428430000000,-0.1186676025390625
1428500000000,-0.11750233173370361
1428500000000,-0.11688220500946045
1428500000000,-0.11607885360717773
1428540000000,-0.11593317985534668
1428540000000,-0.11431801319122314
1428540000000,-0.11286497116088867
1428570000000,-0.11042094230651855
1428600000000,-0.10822701454162598
1428600000000,-0.10822570323944092
1428650000000,-0.10819852352142334
1428650000000,-0.10712432861328125
1428690000000,-0.10421860218048096
1428690000000,-0.1028444766998291
1428730000000,-0.10269045829772949
1428730000000,-0.10109424591064453
1428770000000,-0.0996631383895874
1428770000000,-0.10026776790618896
1428810000000,-0.09686827659606934
1428810000000,-0.09723818302154541
1428860000000,-0.09488070011138916
1428860000000,-0.0936884880065918
1428860000000,-0.09230399131774902
1428900000000,-0.09263873100280762
1428900000000,-0.09116196632385254
1428940000000,-0.08932113647460938
1428980000000,-0.08864474296569824
1428980000000,-0.08725893497467041
1428980000000,-0.08557474613189697
1429030000000,-0.08612310886383057
1429030000000,-0.08512282371520996
1429040000000,-0.08388745784759521
1429060000000,-0.08265924453735352
1429110000000,-0.07992494106292725
1429110000000,-0.08050715923309326
1429150000000,-0.07839155197143555
1429150000000,-0.07743144035339355
1429200000000,-0.07651317119598389
1429200000000,-0.0761568546295166
1429200000000,-0.07471883296966553
1429240000000,-0.07477915287017822
1429240000000,-0.07328951358795166
1429270000000,-0.07293188571929932
1429280000000,-0.07155978679656982
1429320000000,-0.0694575309753418
1429360000000,-0.06978535652160645
1429360000000,-0.06765949726104736
1429360000000,-0.06657588481903076
1429410000000,-0.06668269634246826
1429410000000,-0.0656743049621582
1429420000000,-0.06546831130981445
1429450000000,-0.06549942493438721
1429480000000,-0.06550323963165283
1429480000000,-0.06307995319366455
1429530000000,-0.06281352043151855
1429530000000,-0.06208980083465576
1429570000000,-0.06209158897399902
1429570000000,-0.06052601337432861
1429610000000,-0.06076395511627197
1429610000000,-0.05863940715789795
1429650000000,-0.05839800834655762
1429650000000,-0.05782902240753174
1429700000000,-0.0566784143447876
1429700000000,-0.056434035301208496
1429700000000,-0.05496227741241455
1429750000000,-0.05419886112213135
1429750000000,-0.053919196128845215
1429760000000,-0.05243837833404541
1429780000000,-0.05191195011138916
1429820000000,-0.051235079765319824
1429820000000,-0.05132555961608887
1429870000000,-0.048066139221191406
1429870000000,-0.04835629463195801
1429920000000,-0.04789423942565918
1429920000000,-0.04743075370788574
1429920000000,-0.04671597480773926
1429970000000,-0.04442179203033447
1429970000000,-0.04572856426239014
1429980000000,-0.045185208320617676
1430000000000,-0.045191049575805664
1430040000000,-0.04384493827819824
1430040000000,-0.04263031482696533
1430090000000,-0.04201674461364746
1430090000000,-0.041365742683410645
1430140000000,-0.042388319969177246
1430140000000,-0.04025471210479736
1430140000000,-0.04094111919403076
1430190000000,-0.04050111770629883
1430190000000,-0.0392911434173584
1430200000000,-0.037395596504211426
1430230000000,-0.037299513816833496
1430270000000,-0.03705799579620361
1430270000000,-0.03656136989593506
1430310000000,-0.03572440147399902
1430310000000,-0.0357365608215332
1430360000000,-0.03210759162902832
1430360000000,-0.0344240665435791
1430360000000,-0.03365969657897949
1430410000000,-0.03166365623474121
1430410000000,-0.03257417678833008
1430420000000,-0.03167068958282471
1430440000000,-0.03143727779388428
1430480000000,-0.03063178062438965
1430480000000,-0.02973628044128418
1430520000000,-0.028859972953796387
1430520000000,-0.02872931957244873
1430560000000,-0.029708027839660645
1430560000000,-0.028830766677856445
1430600000000,-0.029253125190734863
1430600000000,-0.02821028232574463
1430650000000,-0.02854013442993164
1430650000000,-0.027921199798583984
1430680000000,-0.02685999870300293
1430680000000,-0.026868104934692383
1430720000000,-0.025823116302490234
1430720000000,-0.024632930755615234
1430760000000,-0.02362358570098877
1430760000000,-0.02398061752319336
1430800000000,-0.023703694343566895
1430800000000,-0.022873997688293457
1430850000000,-0.02212977409362793
1430850000000,-0.020894408226013184
1430900000000,-0.0212324857711792
1430900000000,-0.021784543991088867
1430900000000,-0.020860791206359863
1430940000000,-0.020508885383605957
1430940000000,-0.019992470741271973
1430960000000,-0.019066333770751953
1430980000000,-0.018517613410949707
1431010000000,-0.01872384548187256
1431050000000,-0.018088102340698242
1431050000000,-0.01740884780883789
1431100000000,-0.01728224754333496
1431100000000,-0.016874313354492188
1431150000000,-0.016265869140625
1431150000000,-0.014951348304748535
1431150000000,-0.015938401222229004
1431200000000,-0.014554738998413086
1431200000000,-0.015517354011535645
1431200000000,-0.014629006385803223
1431220000000,-0.015534281730651855
1431270000000,-0.013146638870239258
1431270000000,-0.01320946216583252
1431300000000,-0.013240337371826172
1431300000000,-0.013338446617126465
1431340000000,-0.012085795402526855
1431340000000,-0.011887431144714355
1431400000000,-0.011679768562316895
1431400000000,-0.010153770446777344
1431440000000,-0.01012265682220459
1431440000000,-0.009418845176696777
1431440000000,-0.010455608367919922
1431490000000,-0.009252190589904785
1431490000000,-0.009479403495788574
1431500000000,-0.009501218795776367
1431520000000,-0.008524298667907715
1431560000000,-0.008580803871154785
1431560000000,-0.008198738098144531
1431600000000,-0.007614731788635254
1431600000000,-0.0071146488189697266
1431640000000,-0.006324887275695801
1431640000000,-0.006990313529968262
1431690000000,-0.00640869140625
1431690000000,-0.005681395530700684
1431740000000,-0.005958080291748047
1431740000000,-0.006080150604248047
1431770000000,-0.0055522918701171875
1431770000000,-0.005572676658630371
1431810000000,-0.004580259323120117
1431810000000,-0.005338907241821289
1431860000000,-0.003119945526123047
1431860000000,-0.004181265830993652
1431890000000,-0.0038455724716186523
1431890000000,-0.004464387893676758
1431930000000,-0.0029047727584838867
1431930000000,-0.003918886184692383
